Designator,Name,Quantity,Description,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"AT1","2450AT18B100","1","2.45 GHz chip antenna","Johanson","2450AT18A100E","Volume Production","Arrow","2450AT18A100E","0.47459","0.47459"
"C1, C12","4.7uF","2","Capacitor, 0603, X5R, ±10% ","KEMET","C0603C475K9PACTU","Volume Production","Digi-Key","399-3482-6-ND","0.13424","0.26849"
"C2","10nF","1","Capacitor, 0402, X7R, ±5%","Yageo","CC0402JRX7R9BB103","Volume Production","Arrow","CC0402JRX7R9BB103","0.07502","0.07502"
"C3","47uF","1","Chip Capacitor, 47 uF, +/- 20%, 10 V, -55 to 85 degC, 0805 (2012 Metric), RoHS, Tape and Reel","TDK","C2012X5R1A476M125AC","Volume Production","Mouser","810-C2012X5R1A476M","0.83705","0.83705"
"C4, C11, C13, C17, C24, C25, C26, C27, C28, C29, C30, C32, C35, C37","100nF","14","Capacitor, 0402, X7R, ±10%","Wurth Electronics","885012205037","Volume Production","Mouser","710-885012205037","0.01579","0.22111"
"C5, C6, C14, C31","1.0uF","4","Capacitor, 0603, X7R, ±10% ","Taiyo Yuden","JMK107B7105KA-T","Volume Production","Mouser","963-JMK107B7105KA-T","0.07897","0.31587"
"C7, C36","10uF","2","Capacitor, 0603, X5R, ±10%","TDK","C1608X5R1A106K080AC","Volume Production","Future Electronics","C1608X5R1A106K080AC-CUTT","0.14846","0.29692"
"C8","22uF","1","Capacitor, 0603, X5R, ±20%","TDK","C1608X5R1A226M080AC","Volume Production","Future Electronics","C1608X5R1A226M080AC-CUTT","0.12793","0.12793"
"C9, C10, C15, C16, C19, C20","12pF","6","Capacitor, 0402, NP0, ±2%","Murata","GJM1555C1H120GB01D","Volume Production","Digi-Key","490-8078-6-ND","0.21321","1.28"
"C18","0.8pF","1","Capacitor, NP0, ±5%","Murata","GJM1555C1HR80WB01D","Volume Production","Arrow","GJM1555C1HR80WB01D","0.22498","0.22498"
"C21","100pF","1","Capacitor, 0402, NP0, ±5%","Murata","GRM0225C1E101JA02L","Volume Production","Arrow","GRM0225C1E101JA02L","0.07502","0.07502"
