Line #,Designator,Name,Description,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","AT1","2450AT18B100","2.45 GHz chip antenna","1","Johanson","2450AT18A100E","Volume Production","Farnell","1885496","0.311","31.1"
"","C1, C12","4.7uF","Capacitor, 0603, X5R, ±10% ","2","Murata","GCJ188C70J475KE02D","Unknown","Mouser","81-GCJ188C70J475KE2D","0.11529","23.06"
"","C2","10nF","Capacitor, 0402, X7R, ±5%","1","Yageo","CC0402JRX7R9BB103","Volume Production","Arrow","CC0402JRX7R9BB103","0.00766","0.76598"
"","C3","47uF","Chip Capacitor, 47 uF, +/- 20%, 10 V, -55 to 85 degC, 0805 (2012 Metric), RoHS, Tape and Reel","1","TDK","C2012X5R1A476M125AC","Volume Production","Future Electronics","C2012X5R1A476M125AC-CUTT","0.35535","35.54"
"","C4, C11, C13, C17, C24, C25, C26, C27, C28, C29, C30, C32, C35, C37","100nF","Capacitor, 0402, X7R, ±10%","14","Murata","GRM155-R7-1C-104K-A88-D","Volume Production","Future Electronics","GRM155R71C104KA88D-CUTT","0.00466","6.52"
"","C5, C6, C14, C31","1.0uF","Capacitor, 0603, X7R, ±10% ","4","Taiyo Yuden","JMK107B7105KA-T","Volume Production","Mouser","963-JMK107B7105KA-T","0.02211","8.84"
"","C7, C36","10uF","Capacitor, 0603, X5R, ±10%","2","TDK","C1608X5R1A106K080AC","Volume Production","Future Electronics","C1608X5R1A106K080AC-CUTT","0.11608","23.22"
"","C8","22uF","Capacitor, 0603, X5R, ±20%","1","TDK","C1608X5R1A226M080AC","Volume Production","Future Electronics","C1608X5R1A226M080AC-CUTT","0.0995","9.95"
"","C9, C10, C15, C16, C19, C20","12pF","Capacitor, 0402, NP0, ±2%","6","Murata","GJM1555C1H120GB01D","Volume Production","Mouser","81-GJM1555C1H120GB01","0.07423","44.54"
"","C18","0.8pF","Capacitor, NP0, ±5%","1","Murata","GJM1555C1HR80WB01D","Volume Production","Arrow","GJM1555C1HR80WB01D","0.08449","8.45"
"","C21","100pF","Capacitor, 0402, NP0, ±5%","1","Murata","GRM0225C1E101JA02L","Volume Production","Digi-Key","490-10028-1-ND","0.01556","1.56"
"","C23","2.2pF","Capacitor, 0402, NP0, ±0.1pF","1","Murata","GJM1555C1H2R2BB01D","Volume Production","Arrow","GJM1555C1H2R2BB01D","0.04335","4.34"
"","C33, C34","270pF","Capacitor, 0402, NP0, ±2%","2","KEMET","C0402C271G5GACTU","Volume Production","Mouser","80-C0402C271G5G","0.36325","72.65"
"","FB1","600R/0.5A","Ferrite Bead, 0603, 600 Ohm @ 100MHz, 500mA, 380 mOhm Max","1","Murata","BLM18AG601SN1D","Volume Production","Future Electronics","BLM18AG601SN1D-CUTT","0.02061","2.06"
"","J1","FPC 0.5mm RA SMD","0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated","1","Molex","51281-0594","Volume Production","Farnell","1355722","0.269","26.9"
"","L1","LPS4018-223MRB","Shielded Power Inductor, 22 uH, +/- 20%, 360 mOhm, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","1","Coilcraft","LPS4018-223MRB","Volume Production","Mouser","994-LPS4018-223MRB","0.66332","66.33"
"","L2","15nH","Inductor, 0402, 320mA, ±5%","1","Taiyo Yuden","HK100515NJ-T","Volume Production","Future Electronics","HK100515NJ-T-CUTT","0.01571","1.57"
"","L3","10uH","Inductor, 0603, 80mA, ±10%","1","Taiyo Yuden","LBMF1608T100M","Volume Production","Arrow","LBMF1608T100M","0.10234","10.23"
"","L4, L6","3.9nH","Inductor, 170mA, ±0.1nH","2","Murata","LQP15MN3N9B02D","Volume Production","Farnell","2840135","0.0754","15.08"
