Altium Designer Pick and Place Locations
C:\Users\hongweil\OneDrive\0_Documents\Altium\Projects\Gatekeeper_V2\Project Outputs for Gatekeeper_V2.2\Pick Place\Pick Place for Gatekeeper_8D_V2.2_layerpaired.txt

========================================================================================================================
File Design Information:

Date:       06/06/19
Time:       12:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                           
C35        100nF                 BottomLayer CAPC1005X04L            0.7600       3.8750       270      "Capacitor, 0402, X7R, ±10%"                                                                                                                          
U8         BME680                TopLayer    BOSC-BME680-8_V         2.2500       7.4000       180      "Combined Humidity and Pressure Sensor, 1.71 to 3.6 V, -40 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel"                                                
C30        100nF                 TopLayer    CAPC1005X04L            2.3000       16.0003      270      "Capacitor, 0402, X7R, ±10%"                                                                                                                          
U9         MP34DT05              TopLayer    HCLGA-4LD(3X4X1MM)      2.7500       12.8000      180      "MEMS audio sensor omnidirectional digital microphone"                                                                                                
U11        NX3DV2567             BottomLayer XQFN40P180X260X50-16N   3.1000       4.4000       270      "Low-ohmic four-pole double-throw analog switch"                                                                                                      
C31        1.0uF                 TopLayer    CAPC1608X06L            3.4500       16.2000      270      "Capacitor, 0603, X7R, ±10%"                                                                                                                          
R26        10k                   TopLayer    RESC1005X04L            5.0500       5.0750       90       "Resistor, 0402, ±1%, 0.063W"                                                                                                                         
C29        100nF                 TopLayer    CAPC1005X04L            5.0500       7.3500       90       "Capacitor, 0402, X7R, ±10%"                                                                                                                          
FB1        600R/0.5A             TopLayer    INDC1608X06L            5.4250       15.4991      0        "Ferrite Bead, 0603, 600 Ohm @ 100MHz, 500mA, 380 mOhm Max"                                                                                           
SD1        DM3D-SF               BottomLayer HIRO-DM3D-SF_V          6.7500       12.5100      360      "Micro SD Card Connector, Push-Pull, Top Board Mounting, 125 V, 0.5 A, -25 to 85 degC, 8-Pin SMD, RoHS, Tape and Reel"                                
C27        100nF                 TopLayer    CAPC1005X04L            7.2200       12.7600      0        "Capacitor, 0402, X7R, ±10%"                                                                                                                          
U7         LPS22HB               TopLayer    LGA50P200X200X80-10N    7.5500       10.7000      270      "MEMS nano pressure sensor: 260-1260 hPa absolute digital output barometer"                                                                           
C34        270pF                 BottomLayer CAPC1005X04L            7.6990       5.7150       0        "Capacitor, 0402, NP0, ±2%"                                                                                                                           
U6         SST26VF032-80-5I-S2AE TopLayer    MCHP-SOIC-S2A8_L        8.5200       4.7000       270      "32 Mbit Serial Quad I/O (SQI) Flash Memory, 2.7 to 3.6 V, 80 MHz, -40 to 85 degC, 8-pin SOIC (S2A8), Tube"                                           
C26        100nF                 TopLayer    CAPC1005X04L            8.6665       16.8200      0        "Capacitor, 0402, X7R, ±10%"                                                                                                                          
J1         "FPC 0.5mm RA SMD"    BottomLayer FPC_05P-0.5MM-RA-SMD    8.7146       3.0914       180      "0.5mm FPC, 5P,Right Angle SMT,Double Contact,H=1.2mm,White, Tin plated"                                                                              
C33        270pF                 BottomLayer CAPC1005X04L            9.7310       5.7150       180      "Capacitor, 0402, NP0, ±2%"                                                                                                                           
